Date,Winner,Loser,WCharacter,LCharacter
5/3,JoRo,Savory Buns,Onion,Onion
5/3,JoRo,Savory Buns,Onion,Garlic
5/3,Greasy Pizza,shygybeats,Garlic,Pork
5/3,Greasy Pizza,shygybeats,Garlic,Pork
5/3,DoomMerky,SquidSlash,Pork,Beef
5/3,DoomMerky,SquidSlash,Pork,Beef
5/3,KevinKryptonite,witunfunnymat,Garlic,Garlic
5/3,KevinKryptonite,witunfunnymat,Garlic,Garlic
5/3,Savory Buns,Juni,Onion,Pork
5/3,Savory Buns,Juni,Onion,Onion
5/3,DoomMerky,shygybeats,Pork,Pork
5/3,DoomMerky,shygybeats,Pork,Pork
4/26,DoomMerky,TrunksESP,Pork,Beef
4/26,TrunksESP,DoomMerky,Beef,Pork
4/26,DoomMerky,TrunksESP,Pork,Beef
4/26,DoomMerky,TrunksESP,Pork,Garlic
4/26,Hitaka,TrunksESP,Rice,Beef
4/26,Hitaka,TrunksESP,Rice,Beef
4/26,Hitaka,TrunksESP,Rice,Beef
4/26,DoomMerky,SquidSlash,Pork,Beef
4/26,DoomMerky,SquidSlash,Pork,Beef
4/26,DoomMerky,SquidSlash,Pork,Beef
4/26,DoomMerky,Polar_Bear8,Pork,Noodle
4/26,Polar_Bear8,DoomMerky,Noodle,Pork
4/26,DoomMerky,Polar_Bear8,Pork,Noodle
4/26,DoomMerky,Polar_Bear8,Pork,Noodle
4/26,Hitaka,Kirbo_kek,Pork,Onion
4/26,Hitaka,Kirbo_kek,Rice,Rice
4/26,Hitaka,Kirbo_kek,Rice,Rice
4/26,TrunksESP,DoomMerky,Beef,Pork
4/26,TrunksESP,DoomMerky,Beef,Pork
4/26,TrunksESP,DoomMerky,Beef,Pork
4/26,DoomMerky,TrunksESP,Pork,Beef
4/26,SquidSlash,Flameburst97,Beef,Beef
4/26,SquidSlash,Flameburst97,Beef,Beef
4/26,Kirbo_kek,witunfunnymat,Rice,Garlic
4/26,Kirbo_kek,witunfunnymat,Rice,Garlic
4/12,Mari,Hitaka,Garlic,Rice
4/12,Hitaka,Mari,Rice,Garlic
4/12,Mari,Hitaka,Garlic,Rice
4/12,Mari,Hitaka,Garlic,Rice
4/12,Hitaka,Savory Buns,Rice,Onion
4/12,Hitaka,Savory Buns,Rice,Garlic
4/12,Hitaka,Savory Buns,Rice,Garlic
4/12,Hitaka,KevinKryptonite,Onion,Rice
4/12,Hitaka,KevinKryptonite,Onion,Garlic
4/12,KevinKryptonite,Hitaka,Garlic,Rice
4/12,KevinKryptonite,Hitaka,Garlic,Rice
4/12,Hitaka,KevinKryptonite,Rice,Garlic
4/12,Mari,Savory Buns,Garlic,Garlic
4/12,Mari,Savory Buns,Garlic,Garlic
4/12,Mari,Savory Buns,Garlic,Garlic
4/12,Hitaka,NamelessKing,Rice,Onion
4/12,Hitaka,NamelessKing,Rice,Onion
4/12,Hitaka,NamelessKing,Rice,Onion
4/12,NamelessKing,Hitaka,Onion,Rice
4/12,Savory Buns,Hitaka,Garlic,Rice
4/12,Hitaka,Savory Buns,Rice,Garlic
4/12,Hitaka,Savory Buns,Rice,Garlic
4/12,Savory Buns,Hitaka,Garlic,Rice
4/12,Savory Buns,Hitaka,Garlic,Rice
4/12,Mari,KevinKryptonite,Garlic,Garlic
4/12,Mari,KevinKryptonite,Garlic,Garlic
4/12,KevinKryptonite,Mari,Garlic,Garlic
