date,patch
2021/11/12,0.75.7
2021/11/10,0.75.6
2021/11/09,0.75.5
2021/10/30,0.75.4
2021/10/28,0.75.3
2021/10/28,0.75.2
2021/10/28,0.75.1
2021/10/27,0.75.0
2021/10/25,0.74.11
2021/10/25,0.74.10
2021/10/23,0.74.9
2021/10/23,0.74.8
2021/10/22,0.74.7
2021/10/22,0.74.6
2021/10/22,0.74.5
2021/10/21,0.74.4
2021/10/21,0.74.3
2021/10/20,0.74.2
2021/10/20,0.74.1
2021/10/20,0.74.0
2021/10/19,0.73.5
2021/10/18,0.73.4
2021/10/18,0.73.3
2021/10/18,0.73.2
2021/10/16,0.73.1
2021/10/15,0.73.0
2021/10/14,0.72.7
2021/10/14,0.72.6
2021/10/12,0.72.5
2021/10/11,0.72.4
2021/10/11,0.72.3
2021/10/10,0.72.2
2021/10/10,0.72.1
2021/10/10,0.72.0
2021/10/08,0.71.2
2021/10/08,0.71.1
2021/10/07,0.71.0
2021/10/05,0.70.1
2021/10/02,0.70.0
2021/09/30,0.69.4
2021/09/29,0.69.3
2021/09/28,0.69.2
2021/09/26,0.69.1
2021/09/24,0.69.0
2021/09/24,0.68.2
2021/09/22,0.68.1
2021/09/21,0.68.0
2021/09/20,0.67.5
2021/09/19,0.67.4
2021/09/18,0.67.3
2021/09/18,0.67.2
2021/09/16,0.67.1
2021/09/15,0.67.0
2021/09/14,0.66.3
2021/09/14,0.66.2
2021/09/13,0.66.1
2021/09/12,0.66.0
2021/09/09,0.65.8
2021/09/08,0.65.7
2021/09/07,0.65.6
2021/09/07,0.65.5
2021/09/07,0.65.4
2021/09/05,0.65.3
2021/09/05,0.65.2
2021/09/05,0.65.1
2021/09/04,0.65.0
2021/09/04,0.64.8
2021/09/04,0.64.7
2021/09/04,0.64.6
2021/09/04,0.64.5
2021/09/04,0.64.4
2021/09/02,0.64.3
2021/08/29,0.64.2
2021/08/29,0.64.1
2021/08/28,0.64.0
2021/08/28,0.63.9
2021/08/28,0.63.8
2021/08/25,0.63.7
2021/08/25,0.63.6
2021/08/22,0.63.5
2021/08/21,0.63.4
2021/08/20,0.63.3
2021/08/20,0.63.2
2021/08/20,0.63.1
2021/08/18,0.63.0
2021/08/18,0.62.11
2021/08/18,0.62.10
2021/08/17,0.62.9
2021/08/17,0.62.8
2021/08/17,0.62.7
2021/08/17,0.62.6
2021/08/16,0.62.5
2021/08/02,0.62.4
2021/08/02,0.62.3
2021/08/02,0.62.2
2021/07/17,0.62.1
2021/07/17,0.62.0
2021/07/13,0.61.6
2021/07/12,0.61.5
2021/07/12,0.61.4
2021/07/12,0.61.3
2021/07/12,0.61.2
2021/07/11,0.61.1
2021/07/11,0.61.0
2021/07/11,0.60.2
2021/07/10,0.60.1
2021/07/10,0.60.0
2021/07/08,0.59.2
2021/07/08,0.59.1
2021/07/08,0.59.0
2021/07/08,0.58.7
2021/07/08,0.58.6
2021/07/08,0.58.5
2021/07/06,0.58.4
2021/07/06,0.58.3
2021/07/06,0.58.2
2021/07/05,0.58.1
2021/07/04,0.58.0
2021/07/03,0.57.8
2021/07/03,0.57.7
2021/07/03,0.57.6
2021/07/03,0.57.5
2021/07/01,0.57.4
2021/06/30,0.57.3
2021/06/29,0.57.2
2021/06/29,0.57.1
2021/06/29,0.57.0
2021/06/26,0.56.8
2021/06/24,0.56.7
2021/06/24,0.56.6
2021/06/23,0.56.5
2021/06/23,0.56.4
2021/06/23,0.56.3
2021/06/17,0.56.2
2021/06/15,0.56.1
2021/06/14,0.56.0
2021/06/14,0.55.8
2021/06/14,0.55.7
2021/06/14,0.55.6
2021/06/11,0.55.5
2021/06/08,0.55.4
2021/06/08,0.55.3
2021/06/08,0.55.2
2021/06/08,0.55.1
2021/06/07,0.55.0
2021/06/05,0.54.23
2021/06/01,0.54.22
2021/06/01,0.54.21
2021/06/01,0.54.20
2021/05/30,0.54.19
2021/05/29,0.54.18
2021/05/29,0.54.17
2021/05/29,0.54.16
2021/05/28,0.54.15
2021/05/28,0.54.14
2021/05/27,0.54.13
2021/05/27,0.54.12
2021/05/27,0.54.11
2021/05/26,0.54.10
2021/05/26,0.54.9
2021/05/26,0.54.8
2021/05/25,0.54.7
2021/05/25,0.54.6
2021/05/24,0.54.5
2021/05/23,0.54.4
2021/05/22,0.54.3
2021/05/22,0.54.2
2021/05/22,0.54.1
2021/05/22,0.54.0
2021/05/21,0.53.11
2021/05/21,0.53.10
2021/05/20,0.53.9
2021/05/20,0.53.8
2021/05/19,0.53.7
2021/05/19,0.53.6
2021/05/18,0.53.5
2021/05/17,0.53.4
2021/05/17,0.53.3
2021/05/16,0.53.2
2021/05/16,0.53.1
2021/05/16,0.53.0
2021/05/15,0.52.3
2021/05/15,0.52.2
2021/05/12,0.52.1
2021/05/12,0.52.0
2021/05/09,0.51.3
2021/05/09,0.51.2
2021/05/08,0.51.1
2021/05/08,0.51.0
2021/05/07,0.50.9
2021/05/07,0.50.8
2021/05/07,0.50.7
2021/05/06,0.50.6
2021/05/04,0.50.5
2021/05/04,0.50.4
2021/05/03,0.50.3
2021/05/03,0.50.2
2021/05/01,0.50.1
2021/05/01,0.50.0
2021/05/01,0.49.4
2021/05/01,0.49.3
2021/04/30,0.49.2
2021/04/30,0.49.1
2021/04/30,0.49.0
2021/04/30,0.48.2
2021/04/29,0.48.1
2021/04/26,0.48.0
2021/04/26,0.47.5
2021/04/24,0.47.4
2021/04/23,0.47.3
2021/04/17,0.47.2
2021/04/15,0.47.1
2021/04/10,0.47.0
2021/04/10,0.46.5
2021/04/08,0.46.4
2021/04/06,0.46.3
2021/04/06,0.46.2
2021/04/05,0.46.1
2021/04/03,0.46.0
2021/04/02,0.45.5
2021/04/02,0.45.4
2021/04/02,0.45.3
2021/04/02,0.45.2
2021/04/01,0.45.1
2021/04/01,0.45.0
2021/04/01,0.44.7
2021/03/29,0.44.6
2021/03/29,0.44.5
2021/03/28,0.44.4
2021/03/27,0.44.3
2021/03/27,0.44.2
2021/03/26,0.44.1
2021/03/24,0.44.0
2021/03/24,0.43.6
2021/03/23,0.43.5
2021/03/23,0.43.4
2021/03/22,0.43.3
2021/03/19,0.43.2
2021/03/12,0.43.1
2021/03/12,0.43.0
2021/03/12,0.42.11
2021/03/11,0.42.10
2021/03/08,0.42.9
2021/03/07,0.42.8
2021/03/07,0.42.7
2021/03/06,0.42.6
2021/03/06,0.42.5
2021/03/06,0.42.4
2021/03/06,0.42.3
2021/03/05,0.42.2
2021/03/05,0.42.1
2021/03/05,0.42.0
2021/03/05,0.41.9
2021/03/02,0.41.8
2021/03/02,0.41.7
2021/03/01,0.41.6
2021/02/27,0.41.5
2021/02/26,0.41.4
2021/02/25,0.41.3
2021/02/25,0.41.2
2021/02/24,0.41.1
2021/02/24,0.41.0
2021/02/24,0.40.6
2021/02/23,0.40.5
2021/02/22,0.40.4
2021/02/20,0.40.3
2021/02/15,0.40.2
2021/02/15,0.40.1
2021/02/13,0.40.0
2021/02/13,0.39.25
2021/02/13,0.39.24
2021/02/12,0.39.23
2021/02/12,0.39.22
2021/02/12,0.39.21
2021/02/08,0.39.20
2021/02/08,0.39.19
2021/02/07,0.39.18
2021/02/07,0.39.17
2021/02/06,0.39.16
2021/02/05,0.39.15
2021/02/05,0.39.14
2021/02/02,0.39.13
2021/02/01,0.39.12
2021/02/01,0.39.11
2021/02/01,0.39.10
2021/01/31,0.39.9
2021/01/31,0.39.8
2021/01/29,0.39.7
2021/01/26,0.39.6
2021/01/25,0.39.5
2021/01/25,0.39.4
2021/01/24,0.39.3
2021/01/23,0.39.2
2021/01/23,0.39.1
2021/01/23,0.39.0
2021/01/22,0.38.4
2021/01/22,0.38.3
2021/01/19,0.38.2
2021/01/18,0.38.1
2021/01/18,0.38.0
2021/01/17,0.37.2
